Sr. No.,Message,Type,Date/Time
1,invoice saved successfully,Success,13-04-2026 16:07:09
2,404:Unsynced Data not found.,Info,13-04-2026 16:07:05
3,404:Unsynced Data not found.,Info,13-04-2026 16:06:45
4,404:Unsynced Data not found.,Info,13-04-2026 16:06:25
5,404:Unsynced Data not found.,Info,13-04-2026 16:06:04
6,404:Unsynced Data not found.,Info,13-04-2026 16:05:44
7,404:Unsynced Data not found.,Info,13-04-2026 16:05:24
8,404:Unsynced Data not found.,Info,13-04-2026 16:05:04
9,404:Unsynced Data not found.,Info,13-04-2026 16:04:44
10,404:Unsynced Data not found.,Info,13-04-2026 16:04:23
11,404:Unsynced Data not found.,Info,13-04-2026 16:04:03
12,404:Unsynced Data not found.,Info,13-04-2026 16:03:43
13,404:Unsynced Data not found.,Info,13-04-2026 16:03:23
14,404:Unsynced Data not found.,Info,13-04-2026 16:03:03
15,404:Unsynced Data not found.,Info,13-04-2026 16:02:42
16,404:Unsynced Data not found.,Info,13-04-2026 16:02:22
17,"4/13/2026 4:02:01 PM, DbInsertIssue: SQLite Error 5: 'database is locked'.",Exception,13-04-2026 16:02:01
18,404:Unsynced Data not found.,Info,13-04-2026 16:02:01
19,POS service started.,Info,13-04-2026 16:02:01
20,POS service started.,Info,13-04-2026 16:02:00
21,POS service stopped.,Info,13-04-2026 16:01:57
22,POS Windows Service Crashed,Error,13-04-2026 16:01:57
23,404:Unsynced Data not found.,Info,13-04-2026 16:01:49
24,404:Unsynced Data not found.,Info,13-04-2026 16:01:29
25,404:Unsynced Data not found.,Info,13-04-2026 16:01:09
26,404:Unsynced Data not found.,Info,13-04-2026 16:00:49
27,404:Unsynced Data not found.,Info,13-04-2026 16:00:28
28,404:Unsynced Data not found.,Info,13-04-2026 16:00:08
29,404:Unsynced Data not found.,Info,13-04-2026 15:59:48
30,404:Unsynced Data not found.,Info,13-04-2026 15:59:28
31,404:Unsynced Data not found.,Info,13-04-2026 15:59:08
32,404:Unsynced Data not found.,Info,13-04-2026 15:58:47
33,404:Unsynced Data not found.,Info,13-04-2026 15:58:27
34,404:Unsynced Data not found.,Info,13-04-2026 15:58:07
35,404:Unsynced Data not found.,Info,13-04-2026 15:57:47
36,404:Unsynced Data not found.,Info,13-04-2026 15:57:27
37,404:Unsynced Data not found.,Info,13-04-2026 15:57:06
38,404:Unsynced Data not found.,Info,13-04-2026 15:56:46
39,404:Unsynced Data not found.,Info,13-04-2026 15:56:26
40,404:Unsynced Data not found.,Info,13-04-2026 15:56:06
41,404:Unsynced Data not found.,Info,13-04-2026 15:55:46
42,404:Unsynced Data not found.,Info,13-04-2026 15:55:25
43,404:Unsynced Data not found.,Info,13-04-2026 15:55:05
44,404:Unsynced Data not found.,Info,13-04-2026 15:54:45
45,404:Unsynced Data not found.,Info,13-04-2026 15:54:25
46,404:Unsynced Data not found.,Info,13-04-2026 15:54:05
47,404:Unsynced Data not found.,Info,13-04-2026 15:53:44
48,404:Unsynced Data not found.,Info,13-04-2026 15:53:24
49,404:Unsynced Data not found.,Info,13-04-2026 15:53:04
50,404:Unsynced Data not found.,Info,13-04-2026 15:52:44
51,404:Unsynced Data not found.,Info,13-04-2026 15:52:24
52,404:Unsynced Data not found.,Info,13-04-2026 15:52:03
53,404:Unsynced Data not found.,Info,13-04-2026 15:51:43
54,404:Unsynced Data not found.,Info,13-04-2026 15:51:23
