Product Name ,Price
Chest piece ,400
Leg piece ,370
Chicken karahi Red Paper,1600
Chicken karahi Black Paper ,1600
Chicken Karahi White paper ,2000
Mutton karahi Red Paper ,3400
Mutton karahi Black Paper ,3400
Mutton karahi White paper ,3800
Kata karahi Red Paper ,2300
Kata karahi Black Paper ,2300
Kata karahi White Paper ,2600
Battry karahi  full ,2000
Battry karahi Half ,1000
Fish Fry,1600
Rice dish full ,1100
Rice dish Half ,550
Chicken korma full ,280
Chicken korma half,160
Daal Moong Full ,160
Daal Moong Half ,110
Daal Mash Full ,180
Daal Mash Half,120
Sabzi full,160
Sabzi Half,110
Kadi pakora Full ,200
Kadi pakora Half ,120
Lobia Full,200
Lobia Half ,120
Regular Coca-Cola,90
Later Coca-Cola ,180
1.5 litre Coca-Cola ,220
2 litter Coca-Cola ,250
Regular Next Cola,70
1 little Next Cola ,140
1.5 litter Next Cola ,190
Salad Full ,60
Salad Half,40
Roti special ,20
Num special,25
