Name,Price,Description,Category,SKU,Barcode,"Tax Rate %","Unit (UOM)","Tax Exempt (Yes/No)"
"Al Baik Deal No.1",690,,"Al Baik",0001,0001,,NOS,No
"AL Baik Deal No.2",1500,,"Al Baik",0002,0002,,NOS,No
"AL Baik Deal No.3",1700,,"Al Baik",0003,0003,,,No
"Al Baik Nuggets 10 Pcs+Sauce",800,,"Al Baik",0004,0004,,,No
"Al Baik Nuggets 5 Pcs+Sauce",450,,"Al Baik",0005,0005,,,No
"Al Baik Petty Burger",350,,"Al Baik",0006,0006,,,No
"Al Baik Double Petty Burger",550,,"Al Baik",0007,0007,,,No
"Beast Burger",690,,Burgers,0008,0008,,,No
"Beef Burger",500,,Burgers,0009,0009,,,No
"Beef Lacha Burger",550,,Burgers,0010,0010,,,No
"Beef Lacha Tower Burger",850,,Burgers,0011,0011,,,No
"Beef Tower Burger",850,,Burgers,0012,0012,,,No
"Cheese Slice",80,,Burgers,0013,0013,,,No
"Double Petty Cheese Burger",550,,Burgers,0014,0014,,,No
"Fish Burger",690,,Burgers,0015,0015,,,No
"Grill Burger",470,,Burgers,0016,0016,,,No
"Grill Tower Burger",690,,Burgers,0017,0017,,,No
"Mighty Burger",690,,Burgers,0018,0018,,,No
"Petty Burger",320,,Burgers,0019,0019,,,No
"Petty Cheese Burger",400,,Burgers,0020,0020,,,No
"Tender Cheese Burger",540,,Burgers,0021,0021,,,No
"Tender Fillet Burger",460,,Burgers,0022,0022,,,No
"Tower Burger",650,,Burgers,0023,0023,,,No
"Zinger Burger",400,,Burgers,0024,0024,,,No
"Zinger Cheese Burger",480,,Burgers,0025,0025,,,No
"Zingster Lacha Burger",450,,Burgers,0026,0026,,,No
"Calzone Chunks",1390,,"Calzone Chunks",0027,0027,,,No
"Chicken Cheese Sticks",950,,"Chicken Cheese Sticks",0028,0028,,,No
"Crown Speical Deal",1300,,"Crown Speical Deal",0029,0029,,,No
"Choco Bites",700,,"Choco Bites",0030,0030,,,No
"Bafflo Crust Pizza L",1890,,"Crust Pizza",0031,0031,,,No
"Bafflo Crust Pizza M",1490,,"Crust Pizza",0032,0032,,,No
"Bafflo Crust Pizza S",790,,"Crust Pizza",0033,0033,,,No
"Beef Pizza L",1890,,"Crust Pizza",0034,0034,,,No
"Beef Pizza M",1490,,"Crust Pizza",0035,0035,,,No
"Beef Pizza S",790,,"Crust Pizza",0036,0036,,,No
"Behari Kabab Pizza L",1890,,"Crust Pizza",0037,0037,,,No
"Behari Kabab Pizza M",1490,,"Crust Pizza",0038,0038,,,No
"Behari Kabab Pizza S",790,,"Crust Pizza",0039,0039,,,No
"Cheese Stuffer Pizza L",1890,,"Crust Pizza",0040,0040,,,No
"Cheese Stuffer Pizza M",1490,,"Crust Pizza",0041,0041,,,No
"Cheese Stuffer Pizza S",790,,"Crust Pizza",0042,0042,,,No
"Chicken Crust Pizza L",1890,,"Crust Pizza",0043,0043,,,No
"Chicken Crust Pizza M",1490,,"Crust Pizza",0044,0044,,,No
"Chicken Crust Pizza S",790,,"Crust Pizza",0045,0045,,,No
"Crispy Chicken Pizza L",1890,,"Crust Pizza",0046,0046,,,No
"Crispy Chicken Pizza M",1490,,"Crust Pizza",0047,0047,,,No
"Crispy Chicken Pizza S",790,,"Crust Pizza",0048,0048,,,No
"Crown Crust Pizza L",1890,,"Crust Pizza",0049,0049,,,No
"Crown Crust Pizza M",1490,,"Crust Pizza",0050,0050,,,No
"Crown Crust Pizza S",790,,"Crust Pizza",0051,0051,,,No
"Kabab Stuffer Pizza L",1890,,"Crust Pizza",0052,0052,,,No
"Kabab Stuffer Pizza M",1490,,"Crust Pizza",0053,0053,,,No
"Kabab Stuffer Pizza S",790,,"Crust Pizza",0054,0054,,,No
"Royal Crust Pizza L",1890,,"Crust Pizza",0055,0055,,,No
"Royal Crust Pizza M",1490,,"Crust Pizza",0056,0056,,,No
"Royal Crust Pizza S",790,,"Crust Pizza",0057,0057,,,No
"Deal No. 01",450,,Deals,0058,0058,,,No
"Deal No. 02",630,,Deals,0059,0059,,,No
"Deal No. 03",690,,Deals,0060,0060,,,No
"Deal No. 04",730,,Deals,0061,0061,,,No
